"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-10","10.51",",,W",,,"0.01",",,W,2400","0.1",",,W,","7.9",",,W,",,,"40",",,W","26",",,W",,,"   30",",,W","   30",",,W","18.1",",,W","28.0",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-11","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.9",",,W,",,,"34",",,W","22",",,W",,,"   50",",,W","   60",",,W","18.1",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-12","7.38",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","7.9",",,W,",,,"40",",,W","16",",,W",,,"  310",",,W","  320",",,W","21.9",",,W","38.9",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-13","9.17",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.9",",,W,",,,"21",",,W","8",",,W",,,"  310",",,W","  300",",,W","21.9",",,W","36.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-14","5.37",",,W",,,"0.02",",,W,2400","0.9",",,W,","7.9",",,W,",,,"32",",,W","16",",,W",,,"   10",",,W","  250",",,W","14.1",",,W","23.0",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-15","14.54",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","9.1",",,W,",,,"25",",,W","4",",,W",,,"  300",",,W","  310",",,W","23.0",",,W","42.1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-16","6.93",",,W",,,"0.00",",,W,2400","0.0",",,W,","9.1",",,W,",,,"21",",,W","3",",,W",,,"  310",",,W","  320",",,W","21.0",",,W","36.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-17","4.70",",,W",,,"0.14",",,W,2400","3.3",",,W,","11.8",",,W,",,,"27",",,W","14",",,W",,,"   50",",,W","   30",",,W","12.1",",,W","16.1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-18","4.25",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","9.1",",,W,",,,"33",",,W","19",",,W",,,"  250",",,W","  260",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-19","11.41",",,W",,,"0.00",",,W,2400","0.0",",,W,","9.1",",,W,",,,"27",",,W","8",",,W",,,"  280",",,W","  280",",,W","19.9",",,W","31.1",",,W",,,,,,,,,,,,
